LoanID,Age,Income,LoanAmount,CreditScore,MonthsEmployed,NumCreditLines,InterestRate,LoanTerm,DTIRatio,Education,EmploymentType,MaritalStatus,HasMortgage,HasDependents,LoanPurpose,HasCoSigner,Default
LID00000017,20,118216,88211,708,27,4,20.84,24,0.2,High School,Full-time,Single,No,No,Education,Yes,0
LID00000018,39,18691,77057,798,31,1,5.15,36,0.31,High School,Part-time,Married,No,No,Home,No,0
LID00000019,19,59445,87681,764,43,2,10.31,36,0.53,High School,Full-time,Married,No,Yes,Business,No,0
LID00000020,41,116368,126276,731,51,2,22.09,48,0.27,Master's,Part-time,Married,No,No,Auto,No,0
LID00000021,61,69564,246060,406,60,1,20.22,48,0.7,PhD,Full-time,Married,No,No,Auto,No,1
LID00000022,47,102071,99213,772,105,2,22.67,48,0.23,High School,Full-time,Single,No,Yes,Education,No,0
LID00000023,55,29073,157531,334,55,1,6.32,24,0.43,High School,Full-time,Single,No,Yes,Other,No,1
LID00000024,19,16789,59486,503,91,1,14.68,48,0.85,High School,Self-employed,Single,Yes,No,Other,Yes,0
LID00000025,38,45353,13654,797,107,1,12.93,36,0.86,High School,Full-time,Divorced,Yes,Yes,Auto,No,0
LID00000026,50,41340,181510,563,79,1,6.85,48,0.87,Bachelor's,Full-time,Single,No,Yes,Home,No,0
LID00000027,29,62343,90339,715,81,3,13.54,60,0.88,Bachelor's,Unemployed,Single,No,Yes,Other,No,0
LID00000028,39,140877,16041,345,35,3,8.05,60,0.53,Bachelor's,Full-time,Married,Yes,Yes,Home,Yes,0
LID00000029,61,48027,190735,696,68,1,20.19,60,0.14,Master's,Self-employed,Married,No,Yes,Business,No,0
LID00000030,42,136192,184155,588,106,4,24.14,12,0.85,Bachelor's,Full-time,Married,Yes,Yes,Home,No,0
LID00000031,66,105095,206221,556,100,1,20.82,36,0.16,Bachelor's,Unemployed,Single,No,No,Other,Yes,0
LID00000032,44,145563,42051,366,69,1,18.34,60,0.44,Bachelor's,Full-time,Single,Yes,Yes,Home,No,0
LID00000033,59,128570,232481,379,118,1,15.12,48,0.64,PhD,Part-time,Married,No,Yes,Auto,Yes,0
LID00000034,45,41362,172088,733,2,3,5.52,48,0.2,Bachelor's,Self-employed,Married,Yes,No,Other,No,0
LID00000035,33,22252,129689,425,95,1,24.66,24,0.78,Bachelor's,Full-time,Single,Yes,Yes,Auto,Yes,1
LID00000036,32,136918,164870,715,25,2,12.42,36,0.14,High School,Full-time,Single,No,Yes,Home,No,0
LID00000037,64,30090,221205,791,61,1,4.33,12,0.18,PhD,Part-time,Single,No,No,Home,Yes,0
LID00000038,68,50110,147227,309,33,3,9.13,12,0.79,Master's,Part-time,Divorced,No,Yes,Education,No,1
LID00000039,61,88627,162097,684,2,4,24.48,12,0.21,Bachelor's,Self-employed,Married,No,Yes,Auto,No,0
LID00000040,69,67385,81524,754,103,2,2.65,24,0.39,Master's,Full-time,Single,No,No,Home,No,0
LID00000041,20,20024,150400,562,93,1,6.79,36,0.2,High School,Full-time,Married,No,Yes,Education,No,0
LID00000042,54,26441,48376,665,1,2,18.16,36,0.19,Bachelor's,Full-time,Single,Yes,Yes,Education,No,0
LID00000043,68,82825,229192,367,44,1,18.77,60,0.48,Bachelor's,Full-time,Married,No,Yes,Business,No,1
LID00000044,24,131053,156126,431,104,3,17.67,24,0.34,Bachelor's,Part-time,Single,No,No,Business,No,0
LID00000045,38,91890,72389,644,0,2,13.56,36,0.49,Bachelor's,Part-time,Single,No,No,Home,No,0
LID00000046,26,142434,131521,816,84,1,6.97,36,0.52,Bachelor's,Full-time,Single,No,No,Auto,Yes,0
LID00000047,56,131096,67183,610,105,1,7.79,48,0.7,Master's,Part-time,Married,Yes,No,Business,Yes,0
LID00000048,35,24702,217879,740,70,1,7.1,48,0.66,Bachelor's,Full-time,Single,No,No,Other,No,1
LID00000049,21,113523,197428,374,54,2,24.87,12,0.44,Master's,Full-time,Married,Yes,No,Business,Yes,0
LID00000050,42,119711,222510,375,56,1,4.02,24,0.22,High School,Full-time,Married,No,No,Auto,Yes,0
LID00000051,31,126895,169754,546,61,2,19.46,12,0.71,Bachelor's,Unemployed,Single,No,Yes,Business,Yes,0
LID00000052,67,42762,14095,379,18,4,20.72,24,0.53,Bachelor's,Part-time,Single,No,No,Auto,No,0
LID00000053,26,149311,130180,660,97,1,2.48,36,0.52,High School,Part-time,Single,No,No,Education,Yes,0
LID00000054,43,27567,138783,821,26,2,2.04,12,0.24,High School,Full-time,Married,Yes,Yes,Other,Yes,0
LID00000055,19,100737,222972,637,81,3,18.45,24,0.78,Master's,Full-time,Divorced,No,No,Business,Yes,0
LID00000056,37,21857,123507,328,8,4,24.36,36,0.23,Master's,Self-employed,Married,Yes,Yes,Auto,Yes,1
LID00000057,45,80603,91263,555,13,2,11.89,60,0.58,Master's,Part-time,Divorced,Yes,No,Home,No,0
LID00000058,64,90399,164759,453,41,1,20.62,12,0.46,PhD,Self-employed,Single,No,Yes,Business,Yes,0
LID00000059,24,73086,112916,841,60,3,17.91,36,0.89,Master's,Full-time,Single,Yes,No,Education,No,0
LID00000060,61,104145,247801,794,23,3,5.21,12,0.46,Bachelor's,Full-time,Single,No,No,Auto,No,0
LID00000061,25,47270,63360,826,117,3,9.21,60,0.36,High School,Part-time,Married,No,No,Business,No,0
LID00000062,64,135071,25893,318,70,3,22.51,36,0.35,High School,Self-employed,Single,No,Yes,Auto,Yes,0
LID00000063,52,17012,88084,327,29,1,19.65,60,0.81,Master's,Part-time,Single,No,No,Auto,No,1
LID00000064,31,74049,31324,796,103,1,2.35,12,0.63,Master's,Full-time,Single,Yes,Yes,Education,No,0
LID00000065,34,99989,177370,652,4,1,11.72,24,0.7,High School,Part-time,Single,No,Yes,Education,No,0
LID00000066,53,104586,212002,360,9,2,3.73,60,0.82,Bachelor's,Unemployed,Single,Yes,No,Other,No,1
LID00000067,67,54080,132397,337,10,3,5.02,36,0.27,Master's,Full-time,Divorced,No,No,Other,No,0
LID00000068,57,71879,38259,654,111,4,17.72,60,0.6,Master's,Part-time,Married,Yes,No,Other,Yes,0
LID00000069,21,80888,177069,587,67,3,16.71,12,0.73,High School,Full-time,Single,No,No,Education,No,0
LID00000070,19,130951,81978,596,115,1,2.8,48,0.74,Master's,Full-time,Single,No,No,Business,No,0
LID00000071,23,52146,34327,512,65,2,10.78,36,0.38,Bachelor's,Self-employed,Divorced,No,No,Education,No,0
LID00000072,59,131293,59317,698,108,4,7.44,60,0.4,Master's,Full-time,Divorced,No,No,Education,Yes,0
LID00000073,21,108948,248415,300,117,1,20.48,12,0.25,High School,Full-time,Single,No,No,Other,No,0
LID00000074,46,51166,155014,726,112,1,12.19,12,0.68,High School,Full-time,Married,Yes,No,Education,No,0
LID00000075,35,134239,112435,697,39,2,10.61,24,0.66,PhD,Unemployed,Married,No,No,Other,No,0
LID00000076,43,149078,44025,429,39,4,12.85,36,0.67,High School,Full-time,Single,No,No,Business,Yes,0
LID00000077,61,147076,122455,307,20,2,20.66,24,0.45,High School,Full-time,Single,Yes,No,Business,No,0
LID00000078,51,33879,18744,310,73,1,10.01,24,0.85,Master's,Part-time,Divorced,No,No,Education,No,0
LID00000079,27,17261,14615,319,54,4,16.15,24,0.81,Bachelor's,Full-time,Single,Yes,Yes,Business,No,0
LID00000080,53,47323,168082,614,29,4,4.85,36,0.48,Master's,Self-employed,Married,No,No,Auto,No,0
LID00000081,31,50864,64801,316,72,2,14.84,36,0.15,Bachelor's,Self-employed,Single,Yes,No,Other,Yes,0
LID00000082,48,22927,27479,544,70,1,16.68,48,0.77,High School,Unemployed,Single,Yes,No,Home,No,0
LID00000083,65,97256,207766,494,111,1,7.35,36,0.71,Master's,Full-time,Single,Yes,No,Home,No,0
LID00000084,32,99903,161857,431,18,3,11.57,60,0.64,High School,Self-employed,Single,Yes,No,Home,No,0
LID00000085,25,136686,216281,515,15,1,15.63,24,0.67,Master's,Full-time,Married,No,No,Other,No,0
LID00000086,31,69150,28569,528,105,3,9.86,48,0.64,High School,Full-time,Divorced,No,No,Other,No,0
LID00000087,40,122167,247402,552,28,1,5.41,24,0.66,High School,Full-time,Single,No,No,Education,Yes,0
LID00000088,57,28056,155724,623,119,1,2.79,12,0.87,Master's,Self-employed,Married,Yes,Yes,Education,No,0
LID00000089,38,25798,20169,378,17,2,10.55,12,0.39,Bachelor's,Full-time,Divorced,Yes,Yes,Business,No,0
LID00000090,33,121491,159909,773,13,3,2.82,60,0.37,Master's,Self-employed,Divorced,Yes,No,Education,Yes,0
LID00000091,62,66747,191526,358,62,2,8.1,60,0.9,Master's,Full-time,Married,No,No,Education,No,1
LID00000092,35,50738,139808,735,61,2,13.3,60,0.68,High School,Full-time,Married,No,Yes,Home,Yes,0
LID00000093,64,32227,153842,600,60,2,12.49,12,0.16,High School,Full-time,Single,Yes,No,Home,No,0
LID00000094,41,98800,169702,573,113,2,14.66,36,0.74,Master's,Self-employed,Single,Yes,No,Education,Yes,0
LID00000095,43,141531,151898,554,73,3,13.59,48,0.65,Master's,Part-time,Divorced,No,Yes,Education,No,0
LID00000096,42,74461,39806,605,11,4,12.93,60,0.74,High School,Part-time,Single,Yes,No,Auto,Yes,0
LID00000097,62,72848,37737,589,43,1,7.55,36,0.39,High School,Full-time,Single,Yes,Yes,Auto,No,0
LID00000098,58,39685,23641,353,34,4,3.62,24,0.57,High School,Full-time,Divorced,No,No,Business,No,0
LID00000099,46,106517,164718,481,20,4,4.15,12,0.74,High School,Unemployed,Single,No,No,Business,No,0
LID00000100,32,134180,196423,607,45,4,15.51,48,0.64,High School,Part-time,Single,No,No,Home,No,0
LID00000101,62,18480,138615,713,85,3,19.06,36,0.65,High School,Full-time,Single,Yes,Yes,Home,No,1
LID00000102,18,30860,71464,352,32,2,3.52,48,0.77,High School,Full-time,Single,No,Yes,Business,No,0
LID00000103,42,83578,190324,451,9,3,22.3,24,0.29,High School,Part-time,Married,Yes,Yes,Other,No,0
LID00000104,24,72230,7178,605,79,1,22.22,48,0.62,Bachelor's,Self-employed,Single,Yes,No,Auto,Yes,0
LID00000105,26,72026,232857,728,81,1,17.97,24,0.7,Master's,Full-time,Single,Yes,No,Education,No,0
LID00000106,41,21564,168171,389,42,2,13.74,24,0.46,PhD,Self-employed,Single,Yes,Yes,Home,No,1
LID00000107,18,35012,95547,690,21,3,2.91,36,0.24,PhD,Self-employed,Single,No,No,Education,No,0
LID00000108,61,69169,196321,798,69,3,13.39,12,0.38,Bachelor's,Part-time,Single,No,No,Business,No,0
LID00000109,25,41341,214755,344,58,1,17.19,36,0.77,Bachelor's,Full-time,Single,No,Yes,Home,No,1
LID00000110,41,61841,45223,761,61,1,23.59,24,0.43,High School,Unemployed,Married,Yes,Yes,Home,No,0
LID00000111,28,107584,133560,333,98,2,3.35,12,0.88,High School,Full-time,Single,Yes,Yes,Home,No,0
LID00000112,68,58335,236588,438,109,1,19.26,48,0.25,Bachelor's,Unemployed,Married,Yes,Yes,Education,No,1
LID00000113,34,70155,211918,348,114,1,16.55,36,0.44,Bachelor's,Full-time,Single,No,No,Auto,No,0
LID00000114,25,113314,243875,723,106,4,15.54,48,0.17,Bachelor's,Unemployed,Divorced,Yes,Yes,Auto,No,0
LID00000115,52,44527,165799,626,70,4,2.75,36,0.36,High School,Full-time,Married,No,Yes,Auto,No,0
LID00000116,52,110466,209968,398,25,3,2.86,48,0.81,High School,Full-time,Single,No,Yes,Education,No,0
LID00000117,50,65653,103723,418,101,3,17.59,48,0.24,High School,Full-time,Married,No,Yes,Education,No,0
LID00000118,22,116907,230365,531,73,4,6.13,36,0.63,PhD,Full-time,Single,No,No,Education,Yes,0
LID00000119,59,48057,189200,811,104,2,21.16,60,0.59,Master's,Full-time,Married,No,No,Business,No,0
LID00000120,56,118992,174744,337,44,4,12.12,48,0.3,Bachelor's,Full-time,Single,Yes,No,Auto,Yes,0
LID00000121,58,22393,28561,428,35,4,6.77,60,0.44,High School,Self-employed,Single,No,No,Auto,No,0
LID00000122,45,90404,36578,410,108,2,21.7,12,0.11,High School,Unemployed,Single,Yes,No,Education,No,0
LID00000123,24,106956,116120,321,58,4,6.96,12,0.4,High School,Full-time,Married,No,Yes,Home,No,0
LID00000124,26,99613,216295,640,9,3,15.63,48,0.42,Master's,Unemployed,Single,No,No,Business,Yes,0
LID00000125,25,74171,108145,500,119,4,12.58,12,0.19,PhD,Full-time,Married,Yes,No,Business,No,0
LID00000126,29,44336,242706,783,15,4,17.3,60,0.8,High School,Full-time,Married,Yes,No,Home,Yes,0
LID00000127,51,27014,242868,304,36,1,9.74,48,0.28,High School,Self-employed,Single,No,Yes,Auto,No,1
LID00000128,50,106513,204512,842,5,1,9.38,12,0.72,High School,Full-time,Single,No,No,Home,No,0
LID00000129,65,99769,52230,364,114,3,16.28,24,0.46,PhD,Full-time,Married,Yes,Yes,Education,No,0
LID00000130,40,141092,54680,389,87,1,24.44,12,0.77,Bachelor's,Part-time,Divorced,No,No,Education,Yes,0
LID00000131,41,43782,139777,584,41,2,24.03,12,0.54,Bachelor's,Self-employed,Single,No,No,Auto,No,0
LID00000132,54,125463,98750,737,81,3,3.4,12,0.89,High School,Part-time,Single,No,No,Business,No,0
LID00000133,52,100847,44118,468,75,4,15.33,36,0.63,Bachelor's,Part-time,Single,No,No,Education,No,0
LID00000134,61,103434,247948,774,110,3,2.45,60,0.41,High School,Self-employed,Married,Yes,Yes,Other,Yes,0
LID00000135,57,75773,54258,503,22,2,17.99,48,0.28,High School,Full-time,Single,No,No,Home,No,0
LID00000136,39,29110,246271,334,56,2,18.55,24,0.63,Master's,Full-time,Single,No,No,Education,No,1
LID00000137,44,103512,125140,738,53,3,6.82,12,0.14,Master's,Part-time,Divorced,No,No,Auto,No,0
LID00000138,52,20825,180866,525,49,1,17.9,60,0.26,Bachelor's,Full-time,Divorced,No,No,Home,No,1
LID00000139,18,149560,56013,844,107,2,3.93,24,0.66,Bachelor's,Self-employed,Married,No,No,Business,No,0
LID00000140,52,82431,111537,597,117,2,5.15,48,0.25,High School,Full-time,Single,Yes,No,Education,No,0
LID00000141,54,83444,142939,642,18,2,13.85,12,0.32,High School,Part-time,Married,No,No,Auto,No,0
LID00000142,64,81947,174794,401,89,2,10.43,24,0.36,Master's,Full-time,Single,Yes,No,Education,No,0
LID00000143,31,53216,19683,677,24,2,23.5,48,0.57,High School,Full-time,Married,Yes,No,Business,No,0
LID00000144,20,108230,78858,800,27,4,16.17,60,0.36,Bachelor's,Full-time,Married,No,Yes,Auto,No,0
LID00000145,18,23847,131048,457,26,2,17.81,36,0.37,Bachelor's,Self-employed,Married,Yes,No,Other,Yes,1
LID00000146,22,29658,128713,647,37,2,21.05,36,0.17,Bachelor's,Full-time,Married,No,Yes,Home,No,0
LID00000147,43,141878,45932,373,110,3,20.92,12,0.35,Master's,Part-time,Divorced,No,No,Home,No,0
LID00000148,31,44676,233283,580,2,2,19.69,12,0.65,High School,Part-time,Married,No,No,Home,No,1
LID00000149,56,15645,67748,569,59,1,18.62,36,0.36,Master's,Self-employed,Single,No,Yes,Business,No,0
LID00000150,44,112476,94549,620,38,3,20.21,36,0.58,High School,Full-time,Divorced,No,Yes,Business,No,0
LID00000151,26,93236,190222,713,54,4,3.35,60,0.2,Bachelor's,Self-employed,Single,No,No,Education,No,0
LID00000152,32,33618,72179,824,45,2,15.73,36,0.81,High School,Part-time,Married,Yes,No,Other,No,0
LID00000153,32,76859,192011,644,58,4,17.87,48,0.24,Bachelor's,Full-time,Single,No,Yes,Home,Yes,0
LID00000154,43,73827,145465,823,44,2,12.11,24,0.7,High School,Self-employed,Divorced,No,Yes,Auto,No,0
LID00000155,59,112389,71324,451,114,3,20.7,24,0.71,Master's,Self-employed,Single,No,No,Auto,No,0
LID00000156,30,140114,22624,625,99,4,18.23,12,0.35,Master's,Unemployed,Divorced,Yes,Yes,Home,No,0
LID00000157,68,111726,140560,849,58,3,3.86,24,0.35,PhD,Full-time,Married,No,No,Education,No,0
LID00000158,49,143077,232003,625,23,2,20.96,48,0.18,Bachelor's,Full-time,Married,Yes,Yes,Business,No,0
LID00000159,56,148034,36691,408,38,3,10.08,24,0.81,Bachelor's,Self-employed,Married,No,No,Auto,Yes,0
LID00000160,66,143373,27539,334,2,2,12.8,60,0.44,Bachelor's,Part-time,Married,Yes,Yes,Auto,No,0
LID00000161,69,141076,203967,327,3,4,9.35,36,0.54,Master's,Part-time,Married,No,Yes,Home,No,0
LID00000162,49,77397,206220,597,4,3,22.09,48,0.41,Bachelor's,Unemployed,Married,Yes,Yes,Home,Yes,0
LID00000163,21,84951,127814,763,110,1,10.95,60,0.84,Master's,Part-time,Single,Yes,No,Home,No,0
LID00000164,47,70770,172388,541,106,4,23.33,12,0.37,PhD,Full-time,Married,No,No,Home,No,0
LID00000165,54,46545,55970,577,80,1,22.49,48,0.79,Bachelor's,Part-time,Single,No,No,Business,No,0
LID00000166,40,23705,236014,478,52,4,14.61,36,0.18,Bachelor's,Full-time,Divorced,No,Yes,Home,Yes,1
LID00000167,56,25704,35896,642,7,4,9.61,12,0.46,High School,Unemployed,Divorced,No,No,Business,No,0
LID00000168,62,43671,128519,503,112,3,3.25,12,0.7,High School,Full-time,Single,No,Yes,Other,Yes,0
LID00000169,32,36203,218276,722,58,4,2.66,24,0.33,Master's,Unemployed,Married,No,Yes,Education,No,0
LID00000170,60,96927,211070,676,72,4,21.49,12,0.89,Master's,Full-time,Divorced,No,Yes,Auto,No,0
LID00000171,46,135503,126123,455,9,3,16.36,24,0.31,Master's,Part-time,Married,No,No,Home,No,0
LID00000172,53,107115,147432,751,100,2,8.6,36,0.1,Bachelor's,Full-time,Married,No,No,Auto,No,0
LID00000173,30,27451,226831,730,9,3,6.35,60,0.78,Bachelor's,Part-time,Divorced,No,Yes,Business,No,1
LID00000174,49,126372,188453,530,91,4,3.52,36,0.48,High School,Unemployed,Single,Yes,No,Auto,No,0
LID00000175,24,135102,237699,551,38,3,11.77,48,0.52,High School,Full-time,Single,Yes,No,Home,Yes,0
LID00000176,68,111613,179945,371,73,2,10.04,12,0.51,PhD,Part-time,Single,No,Yes,Home,No,0
LID00000177,39,90856,232678,545,36,4,12.14,36,0.6,High School,Full-time,Married,No,No,Education,Yes,0
LID00000178,45,73642,241537,832,53,3,13.33,60,0.51,High School,Full-time,Married,No,Yes,Business,No,0
LID00000179,19,102656,17672,603,87,1,16.78,60,0.68,Master's,Full-time,Married,No,Yes,Auto,No,0
LID00000180,59,49612,103210,733,57,4,9.77,12,0.64,Master's,Full-time,Married,No,No,Auto,Yes,0
LID00000181,62,133299,211290,759,87,1,2.85,60,0.75,Bachelor's,Part-time,Married,No,Yes,Auto,Yes,0
LID00000182,23,144848,71550,489,111,3,12.91,48,0.25,PhD,Full-time,Single,No,No,Home,No,0
LID00000183,45,102606,174645,590,40,1,14.83,36,0.9,Bachelor's,Full-time,Single,Yes,No,Auto,No,0
LID00000184,45,113983,148670,379,51,3,7.41,24,0.16,PhD,Self-employed,Single,No,No,Education,Yes,0
LID00000185,61,22190,217077,560,106,4,9.37,60,0.73,High School,Self-employed,Single,No,No,Home,No,1
LID00000186,61,44617,187864,375,76,3,18.4,48,0.46,High School,Full-time,Married,No,Yes,Auto,No,1
LID00000187,37,124319,78833,517,95,1,11.52,60,0.62,Bachelor's,Full-time,Married,Yes,No,Education,No,0
LID00000188,47,111931,23974,788,102,1,12.3,48,0.25,High School,Unemployed,Single,No,No,Business,No,0
LID00000189,28,15009,195527,628,41,2,16.81,24,0.34,High School,Full-time,Single,Yes,No,Education,Yes,1
LID00000190,45,129291,133275,468,14,1,19.08,48,0.44,Bachelor's,Self-employed,Single,Yes,Yes,Home,No,0
LID00000191,42,95739,127231,339,56,1,14.3,60,0.65,Master's,Part-time,Single,No,No,Education,Yes,0
LID00000192,56,68368,212132,357,97,4,16.98,12,0.87,High School,Full-time,Single,No,No,Auto,Yes,0
LID00000193,50,90914,60526,557,60,3,20.75,48,0.16,Bachelor's,Full-time,Single,No,No,Home,No,0
LID00000194,18,63847,213810,477,118,1,5.06,36,0.59,High School,Full-time,Married,No,Yes,Business,No,0
LID00000195,44,90755,222044,385,71,3,5.82,60,0.4,High School,Self-employed,Married,No,Yes,Home,No,0
LID00000196,69,110491,187454,410,38,2,16.52,60,0.67,Bachelor's,Full-time,Single,No,Yes,Business,No,0
LID00000197,30,113347,102864,416,115,4,24.08,12,0.19,Bachelor's,Full-time,Married,Yes,No,Auto,No,0
LID00000198,58,55094,186149,707,65,3,2.19,36,0.83,PhD,Full-time,Single,No,Yes,Other,No,0
LID00000199,20,142791,81320,588,82,4,8.75,48,0.32,Bachelor's,Part-time,Married,No,No,Business,Yes,0
LID00000200,56,141489,122393,777,78,4,8.5,24,0.81,Bachelor's,Self-employed,Single,No,No,Business,No,0
LID00000201,23,108893,122680,761,4,1,5.55,24,0.3,PhD,Self-employed,Single,Yes,Yes,Auto,No,0
LID00000202,25,55544,230460,522,10,2,13.56,48,0.2,Master's,Full-time,Single,Yes,Yes,Education,No,0
LID00000203,44,107398,234170,827,39,1,16.53,12,0.48,High School,Full-time,Married,No,Yes,Auto,No,0
LID00000204,26,62660,205969,320,20,2,16.21,24,0.7,High School,Part-time,Single,No,No,Business,Yes,1
LID00000205,54,88736,37576,685,70,1,24.18,24,0.4,High School,Unemployed,Married,No,Yes,Home,No,0
LID00000206,50,86168,59811,434,93,1,8.54,36,0.24,High School,Full-time,Single,No,No,Business,No,0
LID00000207,68,49630,137448,704,28,4,14.55,24,0.49,High School,Full-time,Married,No,Yes,Home,No,0
LID00000208,59,19711,157038,701,38,2,3.69,24,0.71,High School,Full-time,Married,No,Yes,Auto,No,1
LID00000209,61,17457,132866,812,9,3,17.12,48,0.33,High School,Self-employed,Married,No,No,Auto,No,0
LID00000210,41,91732,104217,518,32,3,21.4,24,0.21,Bachelor's,Unemployed,Divorced,No,No,Other,No,0
LID00000211,32,93375,142066,577,17,3,23.69,36,0.65,Bachelor's,Part-time,Single,No,No,Business,No,0
LID00000212,49,54467,86388,575,110,4,14.89,24,0.7,Bachelor's,Part-time,Married,No,Yes,Education,No,0
LID00000213,49,22157,246212,842,103,1,18.04,24,0.64,Bachelor's,Part-time,Single,No,Yes,Auto,No,1
LID00000214,41,125357,57104,750,87,1,21.24,48,0.14,Bachelor's,Part-time,Single,No,Yes,Education,No,0
LID00000215,58,17714,225379,579,30,4,21.47,48,0.18,Bachelor's,Full-time,Married,No,Yes,Other,Yes,1
LID00000216,69,42217,225859,314,49,4,8.53,12,0.39,Bachelor's,Part-time,Married,No,Yes,Auto,Yes,1
LID00000217,66,55132,133598,465,109,4,17.01,12,0.45,Master's,Full-time,Married,No,No,Home,Yes,0
LID00000218,66,111653,40481,506,69,4,23.63,48,0.17,High School,Part-time,Married,Yes,Yes,Other,No,0
LID00000219,69,95792,223096,544,84,1,23.53,24,0.52,High School,Full-time,Single,Yes,No,Business,Yes,0
LID00000220,29,71371,117682,791,35,3,6.28,24,0.12,Bachelor's,Part-time,Single,No,Yes,Education,No,0
LID00000221,56,71788,130472,671,6,1,23.22,24,0.89,Master's,Full-time,Divorced,Yes,No,Business,Yes,0
LID00000222,19,24583,208539,849,56,1,23.49,12,0.8,High School,Self-employed,Married,No,No,Home,Yes,1
LID00000223,20,57042,120727,415,4,1,14.78,60,0.27,Bachelor's,Unemployed,Married,No,No,Education,No,1
LID00000224,66,105405,129754,304,33,3,6.89,60,0.11,Master's,Self-employed,Single,Yes,Yes,Business,No,0
LID00000225,54,92807,142887,813,23,1,3.21,60,0.46,Bachelor's,Full-time,Single,No,No,Auto,Yes,0
LID00000226,66,83371,176637,336,13,4,6.43,12,0.65,High School,Part-time,Single,No,Yes,Business,No,1
LID00000227,34,93775,112018,437,60,2,5.1,24,0.56,Master's,Full-time,Married,No,No,Other,No,0
LID00000228,66,51973,212853,373,46,2,6.43,60,0.34,Master's,Full-time,Divorced,Yes,Yes,Auto,No,0
LID00000229,19,82690,231411,806,28,3,24.36,60,0.34,High School,Self-employed,Single,No,No,Education,Yes,0
LID00000230,19,84459,50671,398,12,2,5.76,12,0.69,Bachelor's,Full-time,Single,No,Yes,Education,No,0
LID00000231,45,46558,206021,451,101,4,14.12,48,0.16,High School,Part-time,Single,Yes,Yes,Auto,No,0
LID00000232,40,123350,53750,323,77,4,7.4,24,0.68,High School,Self-employed,Single,No,Yes,Business,No,0
LID00000233,54,55030,119175,650,78,1,3.7,12,0.54,Master's,Self-employed,Single,No,Yes,Education,No,0
LID00000234,49,51636,235518,559,46,1,7.6,48,0.6,High School,Part-time,Single,No,No,Education,No,0
LID00000235,50,124528,228232,339,73,3,17.82,36,0.69,Master's,Full-time,Married,No,No,Auto,Yes,0
LID00000236,18,78566,54893,697,10,2,6.57,12,0.53,High School,Full-time,Married,Yes,Yes,Education,No,0
LID00000237,36,66159,75411,415,112,3,5.34,12,0.17,High School,Full-time,Single,Yes,Yes,Auto,No,0
LID00000238,19,71025,234688,326,119,1,4.34,48,0.81,Bachelor's,Full-time,Single,No,No,Other,No,0
LID00000239,61,124463,8144,838,117,2,5.38,36,0.18,High School,Self-employed,Single,No,Yes,Home,Yes,0
LID00000240,43,27434,70329,569,110,2,2.74,60,0.41,High School,Full-time,Married,No,Yes,Auto,Yes,0
LID00000241,49,61096,109775,732,82,4,6.26,12,0.2,High School,Unemployed,Single,No,No,Home,No,0
LID00000242,23,62471,35202,831,16,3,23.11,24,0.35,Master's,Part-time,Single,Yes,Yes,Auto,No,0
LID00000243,49,71004,53339,686,47,4,24.93,12,0.54,Bachelor's,Full-time,Single,Yes,No,Home,Yes,0
LID00000244,21,25487,186855,427,113,4,19.01,24,0.5,PhD,Full-time,Single,No,No,Business,Yes,1
